Order_ID,Order_Date,Customer_City,Product_Category,Product_Item,Quantity,Unit_Price,Unit_Cost,Shipping_Cost,Courier_Partner,Transit_Days,Order_Status
GLM-10000,2026-01-29,Bengaluru,Gardening Tools,Premium Pruning Shears,1,650,260,74,Shadowfax,4,Delivered
GLM-10001,2026-01-23,Kochi,Live Plants,Bonsai Tree,1,1200,450,75,Bluedart,3,Delivered
GLM-10002,2026-02-20,Kochi,Organic Fertilizers,Neem Cake Powder 2kg,1,250,90,141,Bluedart,1,Delivered
GLM-10003,2026-03-13,Delhi NCR,Organic Fertilizers,Neem Cake Powder 2kg,1,250,90,142,Delhivery,2,Delivered
GLM-10004,2026-03-09,Bengaluru,Planters & Pots,Self-Watering Plastic Pot,1,220,90,130,Delhivery,2,Delivered
GLM-10005,2026-04-03,Pune,Live Plants,Bonsai Tree,1,1200,450,46,Delhivery,2,Delivered
GLM-10006,2026-04-08,Hyderabad,Planters & Pots,Self-Watering Plastic Pot,2,220,90,132,Bluedart,2,Delivered
GLM-10007,2026-03-10,Mumbai,Organic Fertilizers,Liquid Seaweed Extract,2,300,110,179,Bluedart,2,Delivered
GLM-10008,2026-05-23,Pune,Gardening Tools,Premium Pruning Shears,1,650,260,44,Bluedart,2,Delivered
GLM-10009,2026-02-24,Chennai,Organic Fertilizers,Liquid Seaweed Extract,1,300,110,128,Shadowfax,7,Delivered
GLM-10010,2026-03-05,Hyderabad,Planters & Pots,Self-Watering Plastic Pot,1,220,90,95,Bluedart,1,Delivered
GLM-10011,2026-01-13,Mumbai,Organic Fertilizers,Liquid Seaweed Extract,1,300,110,144,Shadowfax,7,Delivered
GLM-10012,2026-04-08,Kolkata,Gardening Tools,Watering Can 5L,2,350,140,74,Bluedart,3,Delivered
GLM-10013,2026-03-10,Chennai,Live Plants,Succulent Trio,1,450,150,56,Delhivery,2,Delivered
GLM-10014,2026-05-09,Delhi NCR,Live Plants,Succulent Trio,2,450,150,63,Shadowfax,8,Delivered
GLM-10015,2026-02-11,Bengaluru,Gardening Tools,Ergonomic Hand Trowel,1,180,70,55,Delhivery,4,Delivered
GLM-10016,2026-05-26,Mumbai,Live Plants,Money Plant,2,250,80,70,Shadowfax,5,Delivered
GLM-10017,2026-05-21,Delhi NCR,Gardening Tools,Watering Can 5L,2,350,140,52,Delhivery,3,Delivered
GLM-10018,2026-03-21,Kochi,Gardening Tools,Ergonomic Hand Trowel,2,180,70,44,Delhivery,2,Delivered
GLM-10019,2026-03-28,Bengaluru,Organic Fertilizers,Liquid Seaweed Extract,1,300,110,134,Bluedart,3,Delivered
GLM-10020,2026-01-18,Bengaluru,Gardening Tools,Premium Pruning Shears,1,650,260,48,Delhivery,5,Delivered
GLM-10021,2026-05-27,Kolkata,Organic Fertilizers,Neem Cake Powder 2kg,2,250,90,147,Bluedart,1,Delivered
GLM-10022,2026-04-01,Kochi,Planters & Pots,Terracotta Clay Pot Set,2,500,200,131,Bluedart,3,Delivered
GLM-10023,2026-01-26,Bengaluru,Planters & Pots,Self-Watering Plastic Pot,1,220,90,124,Bluedart,1,Delivered
GLM-10024,2026-04-25,Delhi NCR,Planters & Pots,Ceramic Mandala Pot,1,800,320,125,Bluedart,1,Delivered
GLM-10025,2026-01-26,Bengaluru,Live Plants,Bonsai Tree,3,1200,450,70,Bluedart,1,Delivered
GLM-10026,2026-02-24,Kochi,Live Plants,Indoor Fern,1,350,120,69,Delhivery,4,Delivered
GLM-10027,2026-03-15,Kochi,Planters & Pots,Ceramic Mandala Pot,1,800,320,124,Bluedart,1,Delivered
GLM-10028,2026-01-16,Chennai,Live Plants,Bonsai Tree,1,1200,450,72,Shadowfax,8,Delivered
GLM-10029,2026-01-21,Delhi NCR,Live Plants,Bonsai Tree,1,1200,450,76,Bluedart,2,Delivered
GLM-10030,2026-03-05,Bengaluru,Live Plants,Money Plant,1,250,80,56,Shadowfax,8,Delivered
GLM-10031,2026-02-22,Chennai,Organic Fertilizers,Neem Cake Powder 2kg,1,250,90,179,Shadowfax,6,Delivered
GLM-10032,2026-01-19,Bengaluru,Planters & Pots,Self-Watering Plastic Pot,4,220,90,122,Bluedart,1,Delivered
GLM-10033,2026-03-09,Delhi NCR,Gardening Tools,Premium Pruning Shears,2,650,260,74,Delhivery,4,Delivered
GLM-10034,2026-03-19,Bengaluru,Gardening Tools,Watering Can 5L,1,350,140,46,Bluedart,2,Delivered
GLM-10035,2026-05-22,Delhi NCR,Gardening Tools,Ergonomic Hand Trowel,1,180,70,80,Shadowfax,6,Delivered
GLM-10036,2026-03-09,Kolkata,Gardening Tools,Premium Pruning Shears,1,650,260,61,Delhivery,4,Delivered
GLM-10037,2026-02-03,Hyderabad,Organic Fertilizers,Liquid Seaweed Extract,1,300,110,127,Shadowfax,7,Delivered
GLM-10038,2026-01-20,Delhi NCR,Live Plants,Succulent Trio,1,450,150,59,Bluedart,2,Delivered
GLM-10039,2026-04-04,Bengaluru,Gardening Tools,Premium Pruning Shears,1,650,260,75,Shadowfax,4,Delivered
GLM-10040,2026-04-15,Delhi NCR,Organic Fertilizers,Vermicompost 5kg,4,400,150,167,Bluedart,2,Delivered
GLM-10041,2026-03-27,Kochi,Organic Fertilizers,Neem Cake Powder 2kg,1,250,90,122,Shadowfax,4,Delivered
GLM-10042,2026-05-01,Pune,Organic Fertilizers,Neem Cake Powder 2kg,1,250,90,132,Bluedart,1,Delivered
GLM-10043,2026-04-13,Chennai,Gardening Tools,Premium Pruning Shears,3,650,260,65,Delhivery,4,Delivered
GLM-10044,2026-05-18,Chennai,Live Plants,Bonsai Tree,2,1200,450,56,Delhivery,3,Delivered
GLM-10045,2026-01-10,Mumbai,Planters & Pots,Terracotta Clay Pot Set,2,500,200,122,Delhivery,5,Delivered
GLM-10046,2026-01-30,Kochi,Organic Fertilizers,Neem Cake Powder 2kg,1,250,90,171,Delhivery,2,Delivered
